Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),CL/OL Fueling* (status),Engine Load*  (g/rev),Engine Speed (rpm),Ethanol Content (%),Ethanol Content Global Fuel Compensation (%),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fueling Final Base* (estimated AFR),IAM* (raw ecu value),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Intake Air Temperature (F),Manifold Absolute Pressure (psi),Manifold Relative Sea Level Pressure (Direct)* (psi relative sea level),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Target Boost* (psi relative sea level),Throttle Opening Angle (%),Throttle Sensor Voltage (V),Turbo Dynamics Integral Cumulative* (absolute %),Turbo Dynamics Proportional* (absolute %),AEM UEGO Wideband [9600 baud] (AFR Gasoline)
0,0.00,0.00,14.70,7,0.41,0,57.7,20.6,0.00,0.00,0.00,16,-20.00,9.50,100,14.36,-0.29,3.45,0.70,0.00,-1.70,0.78,0.68,0.00,0.00,27.40
96,0.00,0.00,14.70,7,0.41,0,57.6,20.6,0.00,0.00,0.00,16,-20.00,9.50,100,14.36,-0.29,3.45,0.70,0.00,-1.70,0.78,0.68,0.00,0.00,26.90
193,0.00,0.00,14.70,7,0.41,0,57.6,20.6,0.00,0.00,0.00,16,-20.00,9.50,100,14.36,-0.29,3.45,0.70,0.00,-1.70,0.78,0.68,0.00,0.00,26.90
288,0.00,0.00,14.70,7,0.41,0,57.6,20.6,0.00,0.00,0.00,16,-20.00,9.50,100,14.36,-0.29,3.45,0.70,0.00,-1.70,1.18,0.68,0.00,0.00,27.00
384,0.00,0.00,14.70,7,0.41,0,57.6,20.6,0.00,0.00,0.00,16,-20.00,9.50,100,14.36,-0.29,3.45,0.70,0.00,-1.70,0.78,0.68,0.00,0.00,27.10
480,0.00,0.00,14.70,7,0.41,0,57.6,20.6,0.00,0.00,0.00,16,-20.00,9.50,100,14.36,-0.29,3.45,0.70,0.00,-1.70,0.78,0.68,0.00,0.00,27.00
576,0.00,0.00,14.70,7,0.41,0,57.6,20.6,0.00,0.00,0.00,16,-20.00,9.50,100,14.36,-0.29,3.45,0.70,0.00,-1.70,0.78,0.68,0.00,0.00,26.90
672,0.00,0.00,14.70,7,0.41,0,57.6,20.6,0.00,0.00,0.00,16,-20.00,9.50,100,14.36,-0.29,3.45,0.70,0.00,-1.70,0.78,0.68,0.00,0.00,26.90
769,0.00,0.00,14.70,7,0.41,0,57.6,20.6,0.00,0.00,0.00,16,-20.00,9.50,100,14.36,-0.29,3.45,0.70,0.00,-1.70,0.78,0.68,0.00,0.00,27.00
865,0.00,0.00,14.70,7,0.41,0,57.7,20.6,0.00,0.00,0.00,16,-20.00,9.50,100,14.36,-0.29,3.45,0.70,0.00,-1.70,0.78,0.68,0.00,0.00,27.00
961,0.00,0.00,14.70,7,0.41,0,57.6,20.6,0.00,0.00,0.00,16,-20.00,9.50,100,14.36,-0.29,3.45,0.70,0.00,-1.70,0.78,0.68,0.00,0.00,27.10
